,A,B
44,Ty Fyffe,Memphis Bleek
45,Ty Fyffe,Busta Rhymes
0,G Koop,Pusha T
1,G Koop,Pusha T
2,G Koop,Jake One
3,G Koop,Jake One
4,G Koop,MF Doom
5,G Koop,Ice Cube
6,G Koop,Ice Cube
0,Heather B. Gardner,Sway Calloway
1,Heather B. Gardner,Method Man
0,Mic Geronimo,Irv Gotti
1,Mic Geronimo,Irv Gotti
2,Mic Geronimo,Ja Rule
3,Mic Geronimo,Ja Rule
4,Mic Geronimo,Jay-Z
0,Ghostface Killah,RZA
1,Ghostface Killah,Method Man
2,Ghostface Killah,Method Man
3,Ghostface Killah,Jadakiss
4,Ghostface Killah,MF Doom
5,Ghostface Killah,Sheek Louch
6,Ghostface Killah,Sheek Louch
0,Irv Gotti,Ja Rule
1,Irv Gotti,Ja Rule
2,Irv Gotti,Ja Rule
3,Irv Gotti,Ja Rule
4,Irv Gotti,Ja Rule
5,Irv Gotti,Ja Rule
6,Irv Gotti,Ja Rule
7,Irv Gotti,Ja Rule
8,Irv Gotti,Ja Rule
9,Irv Gotti,Ja Rule
10,Irv Gotti,Ja Rule
11,Irv Gotti,Jay-Z
12,Irv Gotti,Jay-Z
13,Irv Gotti,Jay-Z
14,Irv Gotti,Jay-Z
15,Irv Gotti,Jay-Z
16,Irv Gotti,Mic Geronimo
17,Irv Gotti,Foxy Brown (rapper)
18,Irv Gotti,Fat Joe
19,Irv Gotti,Charli Baltimore
20,Irv Gotti,Eve (rapper)
21,Irv Gotti,Memphis Bleek
22,Irv Gotti,The Game (rapper)
0,Jean Grae,Talib Kweli
1,Jean Grae,Talib Kweli
2,Jean Grae,Jay-Z
3,Jean Grae,Black Thought
4,Jean Grae,Pumpkinhead (rapper)
5,Jean Grae,Pharoahe Monch
6,Jean Grae,Styles P
7,Jean Grae,Akir
8,Jean Grae,Mr. Lif
9,Jean Grae,Joell Ortiz
10,Jean Grae,Lil B
11,Jean Grae,MC Frontalot
0,Grafh,DJ Kay Slay
1,Grafh,Busta Rhymes
2,Grafh,Sheek Louch
3,Grafh,Wiz Khalifa
4,Grafh,Jadakiss
0,Dame Grease,Termanology
1,Dame Grease,Mase
2,Dame Grease,Swizz Beatz
3,Dame Grease,Ol' Dirty Bastard
4,Dame Grease,Dr. Dre
5,Dame Grease,Juelz Santana
6,Dame Grease,DJ Drama
7,Dame Grease,Hell Rell
8,Dame Grease,French Montana
9,Dame Grease,French Montana
10,Dame Grease,French Montana
11,Dame Grease,N.O.R.E.
12,Dame Grease,Styles P
13,Dame Grease,Styles P
14,Dame Grease,Tupac Shakur
15,Dame Grease,Sean Combs
16,Dame Grease,Nas
17,Dame Grease,Method Man
18,Dame Grease,Masta Killa
19,Dame Grease,Cappadonna
0,MF Grimm,MF Doom
1,MF Grimm,MF Doom
2,MF Grimm,Kool G Rap
3,MF Grimm,Kool G Rap
4,MF Grimm,KRS-One
5,MF Grimm,Large Professor
6,MF Grimm,Large Professor
7,MF Grimm,MC Lyte
8,MF Grimm,GZA
9,MF Grimm,Tupac Shakur
0,Cory Gunz,Jay-Z
1,Cory Gunz,Nick Cannon
2,Cory Gunz,Nick Cannon
3,Cory Gunz,Busta Rhymes
4,Cory Gunz,Busta Rhymes
5,Cory Gunz,Wiz Khalifa
6,Cory Gunz,DJ Drama
7,Cory Gunz,DJ Drama
8,Cory Gunz,N.O.R.E.
9,Cory Gunz,Prodigy (rapper)
10,Cory Gunz,Jae Millz
11,Cory Gunz,Smoke DZA
12,Cory Gunz,Fred the Godson
13,Cory Gunz,Kid Ink
14,Cory Gunz,Schoolboy Q
15,Cory Gunz,Tony Yayo
16,Cory Gunz,Termanology
17,Cory Gunz,Jadakiss
18,Cory Gunz,Meek Mill
19,Cory Gunz,French Montana
20,Cory Gunz,Mase
21,Cory Gunz,DJ Kay Slay
22,Cory Gunz,Method Man
0,Guru (rapper),DJ Premier
1,Guru (rapper),DJ Premier
2,Guru (rapper),The 45 King
0,GZA,RZA
1,GZA,RZA
2,GZA,Ol' Dirty Bastard
3,GZA,Easy Mo Bee
4,GZA,Method Man
5,GZA,Method Man
6,GZA,Ghostface Killah
7,GZA,Mathematics (producer)
8,GZA,50 Cent
0,Half a Mill,DJ Scratch
0,Sleepy Hallow,Sheff G
1,Sleepy Hallow,Sheff G
2,Sleepy Hallow,Sheff G
3,Sleepy Hallow,Sheff G
4,Sleepy Hallow,Sheff G
5,Sleepy Hallow,Sheff G
6,Sleepy Hallow,Coi Leray
7,Sleepy Hallow,Lil Tjay
8,Sleepy Hallow,Lil Tjay
9,Sleepy Hallow,J.I the Prince of N.Y
10,Sleepy Hallow,Rah Swish
0,Charles Hamilton (rapper),Nas
1,Charles Hamilton (rapper),Asher Roth
2,Charles Hamilton (rapper),Cory Gunz
3,Charles Hamilton (rapper),Mickey Factz
4,Charles Hamilton (rapper),Dr. Dre
5,Charles Hamilton (rapper),Dr. Dre
6,Charles Hamilton (rapper),DJ Skee
7,Charles Hamilton (rapper),50 Cent
8,Charles Hamilton (rapper),The Alchemist (musician)
9,Charles Hamilton (rapper),Mase
10,Charles Hamilton (rapper),MC Lyte
0,Andre Harrell,Sean Combs
1,Andre Harrell,Sean Combs
2,Andre Harrell,Sean Combs
3,Andre Harrell,Sean Combs
4,Andre Harrell,The Notorious B.I.G.
5,Andre Harrell,D-Nice
0,Havoc (musician),Prodigy (rapper)
1,Havoc (musician),Prodigy (rapper)
2,Havoc (musician),Prodigy (rapper)
3,Havoc (musician),Prodigy (rapper)
4,Havoc (musician),The Notorious B.I.G.
5,Havoc (musician),Nas
6,Havoc (musician),Nas
7,Havoc (musician),50 Cent
8,Havoc (musician),50 Cent
9,Havoc (musician),Method Man
10,Havoc (musician),Method Man
11,Havoc (musician),Sean Combs
12,Havoc (musician),Foxy Brown (rapper)
13,Havoc (musician),The Alchemist (musician)
14,Havoc (musician),Styles P
15,Havoc (musician),Sheek Louch
16,Havoc (musician),Joell Ortiz
17,Havoc (musician),Cassidy (rapper)
18,Havoc (musician),Lloyd Banks
19,Havoc (musician),Lloyd Banks
0,Emile Haynie,Ghostface Killah
1,Emile Haynie,AZ (rapper)
2,Emile Haynie,Ice Cube
3,Emile Haynie,Pusha T
4,Emile Haynie,ASAP Rocky
0,Heavy D,Pete Rock
1,Heavy D,Pete Rock
2,Heavy D,Marley Marl
3,Heavy D,DJ Premier
4,Heavy D,Andre Harrell
5,Heavy D,Sean Combs
0,Hell Rell,Cam'ron
1,Hell Rell,Cam'ron
2,Hell Rell,J.R. Writer
3,Hell Rell,J.R. Writer
4,Hell Rell,J.R. Writer
5,Hell Rell,Freekey Zekey
6,Hell Rell,Sheek Louch
7,Hell Rell,Jadakiss
8,Hell Rell,Styles P
9,Hell Rell,AZ (rapper)
10,Hell Rell,DJ Kay Slay
11,Hell Rell,Termanology
0,Samuel T. Herring,Madlib
1,Samuel T. Herring,Madlib
2,Samuel T. Herring,Madlib
3,Samuel T. Herring,Clams Casino (musician)
4,Samuel T. Herring,Busdriver
5,Samuel T. Herring,JPEGMafia
6,Samuel T. Herring,Blockhead (music producer)
0,Chad Hugo,Pusha T
1,Chad Hugo,No Malice
2,Chad Hugo,N.O.R.E.
3,Chad Hugo,Ol' Dirty Bastard
4,Chad Hugo,Jay-Z
5,Chad Hugo,E-40
0,DJ Hurricane,Xzibit
1,DJ Hurricane,Xzibit
2,DJ Hurricane,Xzibit
3,DJ Hurricane,Kool G Rap
4,DJ Hurricane,Kool G Rap
5,DJ Hurricane,Kool G Rap
6,DJ Hurricane,Black Thought
7,DJ Hurricane,Black Thought
8,DJ Hurricane,Black Thought
9,DJ Hurricane,Talib Kweli
10,DJ Hurricane,Talib Kweli
11,DJ Hurricane,Talib Kweli
12,DJ Hurricane,Jam Master Jay
13,DJ Hurricane,Pharoahe Monch
14,DJ Hurricane,Pharoahe Monch
15,DJ Hurricane,Hittman
16,DJ Hurricane,Hittman
0,Ice Spice,Lil Tjay
1,Ice Spice,Lil Tjay
2,Ice Spice,Lil' Kim
3,Ice Spice,Lil' Kim
4,Ice Spice,Jay-Z
5,Ice Spice,50 Cent
6,Ice Spice,Sheff G
7,Ice Spice,Pop Smoke
8,Ice Spice,Cardi B
9,Ice Spice,Foxy Brown (rapper)
10,Ice Spice,Remy Ma
0,Ill Bill,Necro (rapper)
1,Ill Bill,Necro (rapper)
2,Ill Bill,Necro (rapper)
3,Ill Bill,Necro (rapper)
4,Ill Bill,Necro (rapper)
5,Ill Bill,Necro (rapper)
6,Ill Bill,Necro (rapper)
7,Ill Bill,Necro (rapper)
8,Ill Bill,Danny Boy (rapper)
9,Ill Bill,Danny Boy (rapper)
10,Ill Bill,Slaine (rapper)
11,Ill Bill,Slaine (rapper)
12,Ill Bill,Sean Price
13,Ill Bill,MF Grimm
14,Ill Bill,B-Real
15,Ill Bill,B-Real
16,Ill Bill,DJ Premier
17,Ill Bill,DJ Premier
18,Ill Bill,El-P
19,Ill Bill,El-P
20,Ill Bill,O.C. (rapper)
21,Ill Bill,Pete Rock
22,Ill Bill,Large Professor
23,Ill Bill,Joyner Lucas
24,Ill Bill,Busta Rhymes
25,Ill Bill,Conway the Machine
26,Ill Bill,Pharoahe Monch
27,Ill Bill,Kool G Rap
28,Ill Bill,Tony Yayo
0,Inspectah Deck,Method Man
1,Inspectah Deck,Method Man
2,Inspectah Deck,Method Man
3,Inspectah Deck,Ghostface Killah
4,Inspectah Deck,Ghostface Killah
5,Inspectah Deck,Ghostface Killah
6,Inspectah Deck,Ol' Dirty Bastard
7,Inspectah Deck,RZA
8,Inspectah Deck,RZA
9,Inspectah Deck,GZA
10,Inspectah Deck,Redman (rapper)
11,Inspectah Deck,DJ Premier
12,Inspectah Deck,Termanology
13,Inspectah Deck,Cappadonna
14,Inspectah Deck,Kurupt
15,Inspectah Deck,Snoop Dogg
16,Inspectah Deck,E-40
17,Inspectah Deck,Nas
18,Inspectah Deck,Jadakiss
19,Inspectah Deck,The Alchemist (musician)
20,Inspectah Deck,Pete Rock
21,Inspectah Deck,MF Doom
22,Inspectah Deck,MF Doom
0,Islord,Hell Razah
0,J.I the Prince of N.Y,Lil Tjay
1,J.I the Prince of N.Y,Lil Tjay
2,J.I the Prince of N.Y,Lil Tjay
3,J.I the Prince of N.Y,Lil Tjay
4,J.I the Prince of N.Y,The Notorious B.I.G.
5,J.I the Prince of N.Y,Nas
6,J.I the Prince of N.Y,Jay-Z
7,J.I the Prince of N.Y,Jay-Z
8,J.I the Prince of N.Y,Big Pun
0,J57 (rapper),Ras Kass
1,J57 (rapper),Ras Kass
2,J57 (rapper),Ras Kass
3,J57 (rapper),Joey Badass
4,J57 (rapper),Joey Badass
5,J57 (rapper),DJ Premier
6,J57 (rapper),DJ Premier
7,J57 (rapper),The Audible Doctor
8,J57 (rapper),The Audible Doctor
9,J57 (rapper),Method Man
10,J57 (rapper),Lil B
0,Ja Rule,Irv Gotti
1,Ja Rule,Irv Gotti
2,Ja Rule,Irv Gotti
3,Ja Rule,Irv Gotti
4,Ja Rule,Irv Gotti
5,Ja Rule,Irv Gotti
6,Ja Rule,Mic Geronimo
7,Ja Rule,Jay-Z
8,Ja Rule,Jay-Z
9,Ja Rule,Jay-Z
10,Ja Rule,Method Man
11,Ja Rule,Redman (rapper)
12,Ja Rule,Nas
13,Ja Rule,Nas
14,Ja Rule,Black Child
15,Ja Rule,Memphis Bleek
16,Ja Rule,Busta Rhymes
17,Ja Rule,Busta Rhymes
18,Ja Rule,Busta Rhymes
19,Ja Rule,Busta Rhymes
20,Ja Rule,Charli Baltimore
21,Ja Rule,50 Cent
22,Ja Rule,50 Cent
23,Ja Rule,50 Cent
24,Ja Rule,50 Cent
25,Ja Rule,Dr. Dre
26,Ja Rule,Dr. Dre
27,Ja Rule,Dr. Dre
28,Ja Rule,Dr. Dre
29,Ja Rule,Dr. Dre
30,Ja Rule,Fat Joe
31,Ja Rule,Jadakiss
32,Ja Rule,Jadakiss
33,Ja Rule,Queen Latifah
34,Ja Rule,Queen Latifah
35,Ja Rule,Pras
36,Ja Rule,Lloyd Banks
37,Ja Rule,Tupac Shakur
38,Ja Rule,Kurupt
39,Ja Rule,Foxy Brown (rapper)
40,Ja Rule,Eazy-E
0,Jadakiss,Fabolous
1,Jadakiss,Fabolous
2,Jadakiss,Fabolous
3,Jadakiss,Fabolous
4,Jadakiss,Jay-Z
5,Jadakiss,Sheek Louch
6,Jadakiss,Styles P
7,Jadakiss,Styles P
8,Jadakiss,Styles P
9,Jadakiss,Sean Combs
10,Jadakiss,Mase
11,Jadakiss,The Notorious B.I.G.
12,Jadakiss,Swizz Beatz
13,Jadakiss,Swizz Beatz
14,Jadakiss,Swizz Beatz
15,Jadakiss,Swizz Beatz
16,Jadakiss,Eve (rapper)
17,Jadakiss,DJ Premier
18,Jadakiss,The Alchemist (musician)
19,Jadakiss,Snoop Dogg
20,Jadakiss,Nas
21,Jadakiss,Nas
22,Jadakiss,Nas
23,Jadakiss,Nate Dogg
24,Jadakiss,DJ Quik
25,Jadakiss,Beanie Sigel
26,Jadakiss,Beanie Sigel
27,Jadakiss,Busta Rhymes
28,Jadakiss,Fat Joe
29,Jadakiss,Fat Joe
30,Jadakiss,DJ Drama
31,Jadakiss,Nipsey Hussle
32,Jadakiss,Wiz Khalifa
33,Jadakiss,Fetty Wap
34,Jadakiss,French Montana
35,Jadakiss,Cam'ron
36,Jadakiss,Ja Rule
37,Jadakiss,50 Cent
38,Jadakiss,Lloyd Banks
0,Mike Jaggerr,DJ Skee
0,Jam Master Jay,50 Cent
1,Jam Master Jay,50 Cent
2,Jam Master Jay,50 Cent
3,Jam Master Jay,Black Child
4,Jam Master Jay,DJ Hurricane
5,Jam Master Jay,Darryl McDaniels
6,Jam Master Jay,Irv Gotti
7,Jam Master Jay,Tupac Shakur
0,Jasiri X,Nas
1,Jasiri X,Tupac Shakur
2,Jasiri X,The Notorious B.I.G.
3,Jasiri X,KRS-One
0,Jay-Z,The Notorious B.I.G.
1,Jay-Z,The Notorious B.I.G.
2,Jay-Z,The Notorious B.I.G.
3,Jay-Z,The Notorious B.I.G.
4,Jay-Z,The Notorious B.I.G.
5,Jay-Z,Jaz-O
6,Jay-Z,Jaz-O
7,Jay-Z,Jaz-O
8,Jay-Z,Big Daddy Kane
9,Jay-Z,Big L
10,Jay-Z,Mic Geronimo
11,Jay-Z,Ja Rule
12,Jay-Z,Ja Rule
13,Jay-Z,DMX
14,Jay-Z,DJ Premier
15,Jay-Z,DJ Premier
16,Jay-Z,Sean Combs
17,Jay-Z,Sean Combs
18,Jay-Z,Sean Combs
19,Jay-Z,Sean Combs
20,Jay-Z,Swizz Beatz
21,Jay-Z,Swizz Beatz
22,Jay-Z,Erick Sermon
23,Jay-Z,Kid Capri
24,Jay-Z,Just Blaze
25,Jay-Z,Just Blaze
26,Jay-Z,Just Blaze
27,Jay-Z,Prodigy (rapper)
28,Jay-Z,Tupac Shakur
29,Jay-Z,Tupac Shakur
30,Jay-Z,Snoop Dogg
31,Jay-Z,Nas
32,Jay-Z,Nas
33,Jay-Z,DJ Quik
34,Jay-Z,Memphis Bleek
35,Jay-Z,Ghostface Killah
36,Jay-Z,Foxy Brown (rapper)
37,Jay-Z,Mike Shinoda
38,Jay-Z,Dr. Dre
39,Jay-Z,Funkmaster Flex
40,Jay-Z,Funkmaster Flex
41,Jay-Z,Jahlil Beats
42,Jay-Z,Jahlil Beats
43,Jay-Z,Pusha T
44,Jay-Z,Pusha T
45,Jay-Z,Guerilla Black
46,Jay-Z,Shock G
47,Jay-Z,50 Cent
48,Jay-Z,50 Cent
49,Jay-Z,Meek Mill
0,Jaz-O,Jay-Z
1,Jaz-O,Jay-Z
2,Jaz-O,Jay-Z
3,Jaz-O,Jay-Z
4,Jaz-O,Jay-Z
5,Jaz-O,Jay-Z
6,Jaz-O,Jay-Z
7,Jaz-O,Jay-Z
8,Jaz-O,Sean Combs
9,Jaz-O,Sean Combs
10,Jaz-O,Rakim
11,Jaz-O,Rakim
12,Jaz-O,Rakim
13,Jaz-O,GZA
14,Jaz-O,GZA
15,Jaz-O,Kool G Rap
16,Jaz-O,Kool G Rap
17,Jaz-O,Kool G Rap
18,Jaz-O,Queen Latifah
19,Jaz-O,Queen Latifah
20,Jaz-O,Grandmaster Caz
21,Jaz-O,Grandmaster Caz
22,Jaz-O,Grandmaster Caz
23,Jaz-O,Irv Gotti
24,Jaz-O,Sauce Money
25,Jaz-O,Sauce Money
26,Jaz-O,Memphis Bleek
27,Jaz-O,Styles P
28,Jaz-O,N.O.R.E.
29,Jaz-O,The Game (rapper)
30,Jaz-O,Nipsey Hussle
31,Jaz-O,Ras Kass
32,Jaz-O,Ras Kass
0,MC Jazzy Jeff,Will Smith
0,DJ Jazzy Joyce,Sweet Tee
1,DJ Jazzy Joyce,Sweet Tee
0,MC Jin,Serius Jones
1,MC Jin,Serius Jones
2,MC Jin,Busdriver
3,MC Jin,DJ Premier
4,MC Jin,Dumbfoundead
5,MC Jin,Dumbfoundead
6,MC Jin,Cassidy (rapper)
7,MC Jin,Mistah F.A.B.
8,MC Jin,Timothy DeLaGhetto
0,Jipsta,Action Bronson
1,Jipsta,Mic Geronimo
2,Jipsta,Jay-Z
0,Joey Badass,CJ Fly
1,Joey Badass,Capital Steez
2,Joey Badass,Capital Steez
3,Joey Badass,Mac Miller
4,Joey Badass,ASAP Rocky
5,Joey Badass,Action Bronson
6,Joey Badass,Kendrick Lamar
7,Joey Badass,Ab-Soul
8,Joey Badass,DJ Premier
9,Joey Badass,Smoke DZA
10,Joey Badass,Statik Selektah
11,Joey Badass,Sean Combs
12,Joey Badass,Westside Gunn
13,Joey Badass,Capella Grey
14,Joey Badass,Nas
15,Joey Badass,Tupac Shakur
16,Joey Badass,Black Thought
17,Joey Badass,Jay-Z
18,Joey Badass,The Notorious B.I.G.
19,Joey Badass,Big L
20,Joey Badass,Big L
21,Joey Badass,Kirk Knight
22,Joey Badass,ASAP Twelvyy
23,Joey Badass,Styles P
24,Joey Badass,Fat Joe
25,Joey Badass,Inspectah Deck
0,Chilla Jones,Mickey Factz
0,Serius Jones,Jay Rock
1,Serius Jones,Jay Rock
0,JPEGMafia,Vince Staples
1,JPEGMafia,Ol' Dirty Bastard
2,JPEGMafia,Lil B
3,JPEGMafia,Ice Cube
4,JPEGMafia,Murs (rapper)
0,Junglepussy,Le1f
1,Junglepussy,Le1f
2,Junglepussy,Dai Burger
3,Junglepussy,Dai Burger
4,Junglepussy,Lil' Kim
5,Junglepussy,Lil' Kim
6,Junglepussy,Busta Rhymes
0,Just Blaze,Beanie Sigel
1,Just Blaze,Beanie Sigel
2,Just Blaze,Jay-Z
3,Just Blaze,Jay-Z
4,Just Blaze,Saigon (rapper)
5,Just Blaze,Saigon (rapper)
6,Just Blaze,Mase
7,Just Blaze,Cam'ron
8,Just Blaze,Juelz Santana
9,Just Blaze,Juelz Santana
10,Just Blaze,Erick Sermon
11,Just Blaze,Redman (rapper)
12,Just Blaze,Fabolous
13,Just Blaze,Joe Budden
14,Just Blaze,Joe Budden
15,Just Blaze,Busta Rhymes
16,Just Blaze,Memphis Bleek
17,Just Blaze,Talib Kweli
18,Just Blaze,Sean Combs
19,Just Blaze,Ghostface Killah
20,Just Blaze,Swizz Beatz
21,Just Blaze,Swizz Beatz
22,Just Blaze,Kendrick Lamar
0,Just-Ice,KRS-One
0,Kastro (rapper),Tupac Shakur
1,Kastro (rapper),Tupac Shakur
2,Kastro (rapper),E.D.I. Mean
3,Kastro (rapper),E.D.I. Mean
0,DJ Kay Slay,Cam'ron
1,DJ Kay Slay,Busta Rhymes
2,DJ Kay Slay,Busta Rhymes
3,DJ Kay Slay,Busta Rhymes
4,DJ Kay Slay,Busta Rhymes
5,DJ Kay Slay,Sauce Money
6,DJ Kay Slay,Sauce Money
7,DJ Kay Slay,Ghostface Killah
8,DJ Kay Slay,Ghostface Killah
9,DJ Kay Slay,Grafh
10,DJ Kay Slay,Uncle Murda
11,DJ Kay Slay,Vado (rapper)
12,DJ Kay Slay,Grandmaster Flash
13,DJ Kay Slay,Foxy Brown (rapper)
14,DJ Kay Slay,Foxy Brown (rapper)
15,DJ Kay Slay,Swizz Beatz
16,DJ Kay Slay,N.O.R.E.
17,DJ Kay Slay,WC (rapper)
18,DJ Kay Slay,Lloyd Banks
19,DJ Kay Slay,Jaz-O
20,DJ Kay Slay,Jaz-O
21,DJ Kay Slay,DJ Drama
22,DJ Kay Slay,DJ Drama
23,DJ Kay Slay,Fabolous
24,DJ Kay Slay,Fabolous
25,DJ Kay Slay,French Montana
26,DJ Kay Slay,French Montana
27,DJ Kay Slay,Fat Joe
28,DJ Kay Slay,Fat Joe
29,DJ Kay Slay,50 Cent
30,DJ Kay Slay,Ice-T
31,DJ Kay Slay,Shaquille O'Neal
32,DJ Kay Slay,Coke La Rock
33,DJ Kay Slay,KRS-One
34,DJ Kay Slay,Kool G Rap
35,DJ Kay Slay,Nas
36,DJ Kay Slay,Joe Budden
37,DJ Kay Slay,Jadakiss
38,DJ Kay Slay,Blueface
0,Kemba (rapper),Joell Ortiz
1,Kemba (rapper),Kendrick Lamar
2,Kemba (rapper),Kendrick Lamar
3,Kemba (rapper),Mac Miller
4,Kemba (rapper),Joey Badass
0,Wiz Khalifa,Snoop Dogg
1,Wiz Khalifa,Snoop Dogg
2,Wiz Khalifa,Snoop Dogg
3,Wiz Khalifa,Snoop Dogg
4,Wiz Khalifa,Snoop Dogg
5,Wiz Khalifa,Ty Dolla Sign
6,Wiz Khalifa,Ty Dolla Sign
7,Wiz Khalifa,Ty Dolla Sign
8,Wiz Khalifa,Berner (rapper)
9,Wiz Khalifa,The Game (rapper)
10,Wiz Khalifa,U-God
11,Wiz Khalifa,Fashawn
12,Wiz Khalifa,Del the Funky Homosapien
13,Wiz Khalifa,Murs (rapper)
14,Wiz Khalifa,Cage (rapper)
15,Wiz Khalifa,Rakim
16,Wiz Khalifa,KRS-One
17,Wiz Khalifa,50 Cent
18,Wiz Khalifa,Hoodie Allen
0,Killa Sin,Mase
1,Killa Sin,50 Cent
2,Killa Sin,Method Man
3,Killa Sin,Method Man
4,Killa Sin,Method Man
5,Killa Sin,Method Man
6,Killa Sin,Ol' Dirty Bastard
7,Killa Sin,RZA
8,Killa Sin,RZA
9,Killa Sin,Inspectah Deck
10,Killa Sin,Inspectah Deck
11,Killa Sin,Ghostface Killah
12,Killa Sin,Ghostface Killah
13,Killa Sin,Ghostface Killah
14,Killa Sin,Masta Killa
15,Killa Sin,9th Prince
16,Killa Sin,Hell Razah
0,Kirk Knight,ASAP Ferg
1,Kirk Knight,Capital Steez
2,Kirk Knight,Joey Badass
3,Kirk Knight,Smoke DZA
4,Kirk Knight,CJ Fly
0,Tate Kobang,Swizz Beatz
1,Tate Kobang,Method Man
2,Tate Kobang,Cassidy (rapper)
0,Kool G Rap,38 Spesh
1,Kool G Rap,38 Spesh
2,Kool G Rap,38 Spesh
3,Kool G Rap,The Notorious B.I.G.
4,Kool G Rap,Nas
5,Kool G Rap,Nas
6,Kool G Rap,Nas
7,Kool G Rap,Jay-Z
8,Kool G Rap,Jay-Z
9,Kool G Rap,Eric B.
10,Kool G Rap,Marley Marl
11,Kool G Rap,Marley Marl
12,Kool G Rap,Buckwild (music producer)
13,Kool G Rap,MF Grimm
14,Kool G Rap,DJ Premier
15,Kool G Rap,Kool Moe Dee
16,Kool G Rap,Treach
17,Kool G Rap,N.O.R.E.
18,Kool G Rap,Fat Joe
19,Kool G Rap,Big Pun
20,Kool G Rap,Termanology
21,Kool G Rap,Black Thought
22,Kool G Rap,RZA
23,Kool G Rap,Ghostface Killah
24,Kool G Rap,O.C. (rapper)
25,Kool G Rap,Memphis Bleek
26,Kool G Rap,Kurupt
27,Kool G Rap,Pharoahe Monch
28,Kool G Rap,Action Bronson
29,Kool G Rap,Big Daddy Kane
30,Kool G Rap,Rakim
31,Kool G Rap,KRS-One
32,Kool G Rap,Lloyd Banks
33,Kool G Rap,Ice-T
34,Kool G Rap,Necro (rapper)
0,Kool Moe Dee,Big Daddy Kane
1,Kool Moe Dee,Big Daddy Kane
2,Kool Moe Dee,Big Daddy Kane
3,Kool Moe Dee,KRS-One
4,Kool Moe Dee,Rakim
5,Kool Moe Dee,Will Smith
6,Kool Moe Dee,Will Smith
7,Kool Moe Dee,Tupac Shakur
8,Kool Moe Dee,Nas
9,Kool Moe Dee,Nas
10,Kool Moe Dee,Jay-Z
11,Kool Moe Dee,Melle Mel
12,Kool Moe Dee,Melle Mel
13,Kool Moe Dee,Melle Mel
14,Kool Moe Dee,Ice-T
15,Kool Moe Dee,Ice-T
16,Kool Moe Dee,Grandmaster Caz
17,Kool Moe Dee,Hi-C (rapper)
0,KRS-One,Scott La Rock
1,KRS-One,Scott La Rock
2,KRS-One,Scott La Rock
3,KRS-One,D-Nice
4,KRS-One,D-Nice
5,KRS-One,DJ Premier
6,KRS-One,Kid Capri
7,KRS-One,Busta Rhymes
8,KRS-One,Fat Joe
9,KRS-One,Salaam Remi
10,KRS-One,Marley Marl
11,KRS-One,Marley Marl
12,KRS-One,Nas
13,KRS-One,Big Daddy Kane
14,KRS-One,Buckshot (rapper)
15,KRS-One,Freddie Foxxx
0,Talib Kweli,Mos Def
1,Talib Kweli,Mos Def
2,Talib Kweli,Mos Def
3,Talib Kweli,Mos Def
4,Talib Kweli,Mos Def
5,Talib Kweli,Mos Def
6,Talib Kweli,Mos Def
7,Talib Kweli,Just Blaze
8,Talib Kweli,Just Blaze
9,Talib Kweli,Just Blaze
10,Talib Kweli,Pharoahe Monch
11,Talib Kweli,Pharoahe Monch
12,Talib Kweli,Nine (rapper)
13,Talib Kweli,El-P
14,Talib Kweli,Wordsworth (rapper)
15,Talib Kweli,Grafh
16,Talib Kweli,Cappadonna
17,Talib Kweli,Ras Kass
18,Talib Kweli,88-Keys
19,Talib Kweli,DJ Quik
20,Talib Kweli,Jay-Z
21,Talib Kweli,Nick Cannon
22,Talib Kweli,Madlib
23,Talib Kweli,Madlib
24,Talib Kweli,Madlib
25,Talib Kweli,Jean Grae
26,Talib Kweli,Pete Rock
27,Talib Kweli,Buckshot (rapper)
28,Talib Kweli,Darryl McDaniels
29,Talib Kweli,Mix Master Mike
30,Talib Kweli,Kendrick Lamar
31,Talib Kweli,Busta Rhymes
32,Talib Kweli,RZA
33,Talib Kweli,Oh No (musician)
34,Talib Kweli,Harry Fraud
35,Talib Kweli,Black Thought
36,Talib Kweli,Statik Selektah
37,Talib Kweli,Styles P
38,Talib Kweli,Styles P
39,Talib Kweli,Styles P
40,Talib Kweli,DMX
41,Talib Kweli,Ice Cube
42,Talib Kweli,The Game (rapper)
43,Talib Kweli,Jasiri X
0,Big L,Funkmaster Flex
1,Big L,Funkmaster Flex
2,Big L,Nas
3,Big L,Nas
4,Big L,O.C. (rapper)
5,Big L,O.C. (rapper)
6,Big L,Fat Joe
7,Big L,Fat Joe
8,Big L,Buckwild (music producer)
9,Big L,Cam'ron
10,Big L,Cam'ron
11,Big L,McGruff (rapper)
12,Big L,McGruff (rapper)
13,Big L,Jay-Z
14,Big L,Tupac Shakur
15,Big L,Guru (rapper)
16,Big L,Kool G Rap
17,Big L,Big Daddy Kane
18,Big L,The Notorious B.I.G.
19,Big L,Doug E. Fresh
20,Big L,Big Pun
0,Coke La Rock,Afrika Bambaataa
1,Coke La Rock,Afrika Bambaataa
2,Coke La Rock,Grandmaster Flash
3,Coke La Rock,KRS-One
4,Coke La Rock,Scott La Rock
5,Coke La Rock,DJ Kay Slay
0,Scott La Rock,KRS-One
1,Scott La Rock,KRS-One
2,Scott La Rock,D-Nice
3,Scott La Rock,D-Nice
0,Lady B,Will Smith
0,Al Sherrod Lambert,Al Sherrod Lambert
